,cid,name,lead,lead_flag,num_contestants,poc_flag,season,show,year,white,afam,amin,hisp,asn_paci,oth,mult,race_data_flag,year_comp_flag,num_weeks,season_num_weeks,perc_weeks,winner_flag,lead_poc_flag
0,BA_1_ALEX_M_L,Alex Michel,Alex Michel,True,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,,6,,,False
1,BA_01_AMANDA_M,Amanda M,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,6.0,6,1.0,True,False
2,BA_01_TRISTA_R,Trista R,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,6.0,6,1.0,False,False
3,BA_01_SHANNON_O,Shannon O,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,5.0,6,0.8333333333333334,False,False
4,BA_01_KIM_X,Kim X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,4.0,6,0.6666666666666666,False,False
5,BA_01_CATHY_G,Cathy G,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,3.0,6,0.5,False,False
6,BA_01_CHRISTINA_X,Christina X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,3.0,6,0.5,False,False
7,BA_01_LANEASE_A,Lanease A,Alex Michel,False,25,True,1,Bachelor,2002,,1.0,,,,,,True,False,3.0,6,0.5,False,False
8,BA_01_RHONDA_X,Rhonda X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,3.0,6,0.5,False,False
9,BA_01_ALEXA_X,Alexa X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,2.0,6,0.3333333333333333,False,False
10,BA_01_AMY_X,Amy X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,2.0,6,0.3333333333333333,False,False
11,BA_01_ANGELA_X,Angela X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,2.0,6,0.3333333333333333,False,False
12,BA_01_ANGELIQUE_X,Angelique X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,2.0,6,0.3333333333333333,False,False
13,BA_01_KATIE_X,Katie X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,2.0,6,0.3333333333333333,False,False
14,BA_01_MELISSA_X,Melissa X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,2.0,6,0.3333333333333333,False,False
15,BA_01_TINA_X,Tina X,Alex Michel,False,25,True,1,Bachelor,2002,,,,,1.0,,,True,False,2.0,6,0.3333333333333333,False,False
16,BA_01_AMBER_X,Amber X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,1.0,6,0.16666666666666666,False,False
17,BA_01_DANIELA_X,Daniela X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,1.0,6,0.16666666666666666,False,False
18,BA_01_DENISE_X,Denise X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,1.0,6,0.16666666666666666,False,False
19,BA_01_JACKIE_X,Jackie X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,1.0,6,0.16666666666666666,False,False
20,BA_01_JILL_X,Jill X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,1.0,6,0.16666666666666666,False,False
21,BA_01_KRISTINA_X,Kristina X,Alex Michel,False,25,True,1,Bachelor,2002,,1.0,,,,,,True,False,1.0,6,0.16666666666666666,False,False
22,BA_01_LISA_X,Lisa X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,1.0,6,0.16666666666666666,False,False
23,BA_01_PAULA_X,Paula X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,1.0,6,0.16666666666666666,False,False
24,BA_01_RACHEL_X,Rachel X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,1.0,6,0.16666666666666666,False,False
25,BA_01_WENDI_X,Wendi X,Alex Michel,False,25,False,1,Bachelor,2002,1.0,,,,,,,True,False,1.0,6,0.16666666666666666,False,False
26,BA_2_AARON_B_L,Aaron Buerge,Aaron Buerge,True,25,False,2,Bachelor,2002,1.0,,,,,,,True,False,,7,,,False
27,BA_02_HELENE_E,Helene E,Aaron Buerge,False,25,False,2,Bachelor,2002,1.0,,,,,,,True,False,7.0,7,1.0,True,False
28,BA_02_BROOKE_S,Brooke S,Aaron Buerge,False,25,False,2,Bachelor,2002,1.0,,,,,,,True,False,7.0,7,1.0,False,False
29,BA_02_GWEN_G,Gwen G,Aaron Buerge,False,25,False,2,Bachelor,2002,1.0,,,,,,,True,False,6.0,7,0.8571428571428571,False,False
30,BA_02_ANGELA_X,Angela X,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,5.0,7,0.7142857142857143,False,False
31,BA_02_HAYLEY_X,Hayley X,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,4.0,7,0.5714285714285714,False,False
32,BA_02_HEATHER_C,Heather C,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,4.0,7,0.5714285714285714,False,False
33,BA_02_HEATHER_X,Heather X,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,3.0,7,0.42857142857142855,False,False
34,BA_02_CHRISTI_X,Christi X,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,3.0,7,0.42857142857142855,False,False
35,BA_02_KYLA_X,Kyla X,Aaron Buerge,False,25,False,2,Bachelor,2002,1.0,,,,,,,True,False,3.0,7,0.42857142857142855,False,False
36,BA_02_SHANNON_X,Shannon X,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,3.0,7,0.42857142857142855,False,False
37,BA_02_DANA_X,Dana X,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,2.0,7,0.2857142857142857,False,False
38,BA_02_ERIN_X,Erin X,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,2.0,7,0.2857142857142857,False,False
39,BA_02_ERIN_X2,Erin X,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,1.0,7,0.14285714285714285,False,False
40,BA_02_SUZANNE_X,Suzanne X,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,2.0,7,0.2857142857142857,False,False
41,BA_02_FRANCES_X,Frances X,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,2.0,7,0.2857142857142857,False,False
42,BA_02_ANINDITA_X,Anindita X,Aaron Buerge,False,25,False,2,Bachelor,2002,,,,,,,,False,False,2.0,7,0.2857142857142857,False,False
